Date,Description,Location,Category,Amount
"03/17/2026","TST*HASH HOUSE A GO GO - Las Vegas    NV","
Las Vegas, NV ","Charge",39.78
"03/17/2026","BOBBY'S BURGERS          LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",34.65
"03/16/2026","BROADWAY RESTAURANT      702-7406540  NV","
702-7406540, NV ","Charge",84.21
"03/16/2026","WAL-MART #1560           LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",125.55
"03/16/2026","FARMER BOYS - 1073       LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",26.31
"03/16/2026","COCOLINI - HARMON        LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",9.6
"03/16/2026","AMAZON MKTPL*B50Z26TU2   Amzn.com/billWA","
Amzn.com/bill, WA ","Charge",10.8
"03/16/2026","AMAZON MKTPL*BP8L23KN0   Amzn.com/billWA","
Amzn.com/bill, WA ","Charge",50.79
"03/15/2026","TST* DIRT DOG SOUTH VEGASLAS VEGAS    NV","
LAS VEGAS, NV ","Charge",22.65
"03/15/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",5.88
"03/15/2026","COCOLINI - EXCALIBUR     LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",9.6
"03/15/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",19.62
"03/15/2026","NYNY GONZALEZ            LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",226.02
"03/14/2026","COCOLINI - EXCALIBUR     LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",7.79
"03/14/2026","EXC- ESSENTIALS - ROYA   LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",6.49
"03/13/2026","PAYMENT - THANK YOU"," ","Payment",513.23
"03/13/2026","SQ *NAILS BY GERRIKA     Kingman      AZ","
Kingman, AZ ","Charge",124.2
"03/13/2026","SQ *LUCKY MARY?S BAKING CGolden       CO","
Golden, CO ","Charge",22.44
"03/13/2026","SQ *THE CANVAS, ITS FIRE!Kingman      AZ","
Kingman, AZ ","Charge",16.82
"03/13/2026","TST*SCOOPS ON 66         Kingman      AZ","
Kingman, AZ ","Charge",4.9
"03/12/2026","ALLEGNT AIR,R8K          702-5058888  NV","
702-5058888, NV ","Charge",226
"03/12/2026","VISIBLE                  866-331-3527 CO","
866-331-3527, CO ","Charge",35
"03/11/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",71.06
"03/10/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",119.28
"03/09/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",50.02
"03/09/2026","AMAZON MKTPL*BP7GN1T11   Amzn.com/billWA","
Amzn.com/bill, WA ","Charge",45.43
"03/08/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",82.48
"03/07/2026","HABIT LAKE HAVASU 301    LAKE HAVASU CAZ","
LAKE HAVASU C, AZ ","Charge",6.72
"03/07/2026","AIRWAY CAR WASH - AZ     KINGMAN      AZ","
KINGMAN, AZ ","Charge",12
"03/07/2026","AMAZON MKTPL*BE8159W61   Amzn.com/billWA","
Amzn.com/bill, WA ","Charge",43.21
"03/07/2026","TST*SCOOPS ON 66         Kingman      AZ","
Kingman, AZ ","Charge",4.9
"03/07/2026","SUPERCHARGER US          650-9633861  TX","
650-9633861, TX ","Charge",0.9
"03/07/2026","SUPERCHARGER US          650-9633861  TX","
650-9633861, TX ","Charge",8.23
"03/06/2026","PAYMENT - THANK YOU"," ","Payment",779.52
"03/04/2026","ASICS Corporation        949-4538888  CA","
949-4538888, CA ","Charge",162.15
"03/04/2026","SPORT CLIPS - AZ401 - KINKINGMAN      AZ","
KINGMAN, AZ ","Charge",34
"03/04/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",12.91
"03/03/2026","LINQ FRONT DSK           8662094732   NV","
8662094732, NV ","Charge",71.94
"03/02/2026","PAYMENT - THANK YOU"," ","Payment",1156.3
"03/02/2026","CCDOA LAS AIRPORT        LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",4
"03/02/2026","CHAYO MEXICAN LAS VEGAS  LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",114.11
"03/02/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",46.9
"03/01/2026","JOHNNY ROCKETS FLAMING   702-3694011  NV","
702-3694011, NV ","Charge",32.4
"03/01/2026","DOLAN'S SPRING TRADING PODOLAN SPRINGSAZ","
DOLAN SPRINGS, AZ ","Charge",34.7
"03/01/2026","I HEART LAS VEGAS DAIQUIRLAS VEGAS    NV","
LAS VEGAS, NV ","Charge",39.88
"03/01/2026","HOOVER DAM PARK/TOUR     170-24942517 NV","
170-24942517, NV ","Charge",10
"03/01/2026","BEST LOCKERS (NYBIGAPP   LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",1
"03/01/2026","WELCOME TO LV @LINQ 284  LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",26.01
"03/01/2026","DUTCHBROS.COFFEE         APPS.APPLE.COOR","
APPS.APPLE.CO, OR ","Charge",7.04
"03/01/2026","NYNY - COASTER AND ARC   LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",50
"03/01/2026","NYNY - COASTER AND ARC   LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",20
"03/01/2026","JACK IN THE BOX 1129     KINGMAN      AZ","
KINGMAN, AZ ","Charge",34.55
"03/01/2026","SQ *HISTORIC ROUTE 66 ASSKingman      AZ","
Kingman, AZ ","Charge",18.72
"03/01/2026","SALT AND STRAW           LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",10.46
"03/01/2026","PURPLE ZEBRA 2           LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",40.43
"02/28/2026","DEL TACO 845 OLO         928-681-3412 AZ","
928-681-3412, AZ ","Charge",15.68
"02/28/2026","DUTCHBROS.COFFEE         APPS.APPLE.COOR","
APPS.APPLE.CO, OR ","Charge",6.49
"02/28/2026","IN-N-OUT LAUGHLIN        LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",15.82
"02/28/2026","SIDE WALK CAFC _EATING P LAUGHLIN     NV","
LAUGHLIN, NV ","Charge",4.33
"02/27/2026","CCDOA LAS AIRPORT        LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",4
"02/27/2026","WALMART.COM              800-925-6278 AR","
800-925-6278, AR ","Charge",59.33
"02/27/2026","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",28.02
"02/26/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",5.44
"02/25/2026","WM SUPERCENTER #2051 KINGMAN  AZ  CREDIT","
MAN  AZ  CRED, IT ","Credit",20.39
"02/25/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",34.04
"02/25/2026","TIRES.COM-ONLINE-ORDER   888-774-6560 AZ","
888-774-6560, AZ ","Charge",881.57
"02/25/2026","ABETTERROUTEPLANNER.CO   LUND         SE","
LUND, SE ","Charge",50
"02/24/2026","PAYMENT - THANK YOU"," ","Payment",1653.89
"02/24/2026","AMERICAN AIR0012319631793FORT WORTH   TX","
FORT WORTH, TX ","Charge",333.4
"02/24/2026","TESLA BODYSHOP US        PALO ALTO    CA","
PALO ALTO, CA ","Charge",29
"02/23/2026","AD AUTO HOUSE SAN BERNARDIN CA    CREDIT","
IN CA    CRED, IT ","Credit",500
"02/23/2026","TST* LOADED CAFE - SANTA SANTA ANA    CA","
SANTA ANA, CA ","Charge",32.09
"02/23/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",60.35
"02/23/2026","PROGRESSIVE *INSURANCE   800-776-4737 OH","
800-776-4737, OH ","Charge",100.78
"02/23/2026","WAVE-1                   ORANGE       CA","
ORANGE, CA ","Charge",2
"02/22/2026","BARSTOW BURGERS          BARSTOW      CA","
BARSTOW, CA ","Charge",9.92
"02/22/2026","UBER   *TRIP             HELP.UBER.COMCA","
HELP.UBER.COM, CA ","Charge",29.94
"02/22/2026","SHELL OIL 60541220380    NEEDLES      CA","
NEEDLES, CA ","Charge",6.98
"02/22/2026","CIRCLE K 05731           BARSTOW      CA","
BARSTOW, CA ","Charge",5.7
"02/22/2026","CITY OF NEWPORT BEACH    NEWPORT BEACHCA","
NEWPORT BEACH, CA ","Charge",4.1
"02/21/2026","LYFT   *RIDE SAT 10AM    LYFT.COM     CA","
LYFT.COM, CA ","Charge",71.18
"02/21/2026","JIMMY JOHNS - 4090       LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",15.04
"02/21/2026","PY *BURRATINO PIZZA      HUNTINGTON BECA","
HUNTINGTON BE, CA ","Charge",29.97
"02/20/2026","UBER   *TRIP             HELP.UBER.COMCA","
HELP.UBER.COM, CA ","Charge",14.93
"02/19/2026","STAPLES       00113886   KINGMAN      AZ","
KINGMAN, AZ ","Charge",1.95
"02/19/2026","STAPLES       00113886   KINGMAN      AZ","
KINGMAN, AZ ","Charge",3.23
"02/17/2026","MARTIN SWANTY KIA        KINGMAN      AZ","
KINGMAN, AZ ","Charge",231.2
"02/17/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",47.94
"02/16/2026","GOTOBUS.COM              617-354-2101 MA","
617-354-2101, MA ","Charge",45
"02/16/2026","EXPEDIA 73375364529436   EXPEDIA.COM  WA","
EXPEDIA.COM, WA ","Charge",2.71
"02/15/2026","EXPEDIA 73375205570269   EXPEDIA.COM  WA","
EXPEDIA.COM, WA ","Charge",75.44
"02/15/2026","SPIRIT AIRL 4870457997832800-7727117  FL","
800-7727117, FL ","Charge",14
"02/15/2026","SPIRIT AIRL 4870457997824800-7727117  FL","
800-7727117, FL ","Charge",86.51
"02/14/2026","PAYMENT - THANK YOU"," ","Payment",1190.82
"02/14/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",15.41
"02/14/2026","LEMON SQUAD AUTO INSPECTI888-2317965  MN","
888-2317965, MN ","Charge",249
"02/14/2026","AD AUTO HOUSE            SAN BERNARDINCA","
SAN BERNARDIN, CA ","Charge",500
"02/13/2026","TU *TRANSUNION           800-493-3292 CA","
800-493-3292, CA ","Charge",0.99
"02/13/2026","HARRAHS LAUGHLIN INC     877-438-4457 NV","
877-438-4457, NV ","Charge",249.42
"02/12/2026","VISIBLE                  866-331-3527 CO","
866-331-3527, CO ","Charge",35
"02/11/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",32.7
"02/10/2026","ENTERPRISE RENT-A-CAR    KINGMAN      AZ","
KINGMAN, AZ ","Charge",521.84
"02/10/2026","CIRCLE K #2652036        KINGMAN      AZ","
KINGMAN, AZ ","Charge",18.96
"02/10/2026","SignUp *RunSedonaEvents  888-3851360  NJ","
888-3851360, NJ ","Charge",60.74
"02/10/2026","SignUp *HualapaiMountainP888-3851360  NJ","
888-3851360, NJ ","Charge",40.37
"02/09/2026","08241 PLANET FITNESS CDR CEDAR RAPIDS IA","
CEDAR RAPIDS, IA ","Charge",1.07
"02/08/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",47.83
"02/08/2026","SAFEWAY #2017            KINGMAN      AZ","
KINGMAN, AZ ","Charge",4.49
"02/08/2026","AAA MEMBERSHIP           800-922-8228 CA","
800-922-8228, CA ","Charge",114.99
"02/07/2026","SHELL OIL 57444664304    COTTONWOOD   AZ","
COTTONWOOD, AZ ","Charge",7.91
"02/07/2026","SHELL 57444664304        888-467-4355 AZ","
888-467-4355, AZ ","Charge",20.02
"02/07/2026","SQ *THE CANVAS, ITS FIRE!KINGMAN      AZ","
KINGMAN, AZ ","Charge",18.9
"02/06/2026","SHELL OIL10090383026     ASH FORK     AZ","
ASH FORK, AZ ","Charge",5
"02/06/2026","CIRCLE K #2652036        KINGMAN      AZ","
KINGMAN, AZ ","Charge",16.87
"02/06/2026","PAYMENT - THANK YOU"," ","Payment",1450.63
"02/05/2026","CCDOA LAS AIRPORT        LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",6
"02/05/2026","CIRCLE K #2652036        KINGMAN      AZ","
KINGMAN, AZ ","Charge",19.94
"02/04/2026","HUALAPAI MOUNTAIN RESTAU KINGMAN      AZ","
KINGMAN, AZ ","Charge",44
"02/04/2026","UBER   *TRIP             HELP.UBER.COMCA","
HELP.UBER.COM, CA ","Charge",15.92
"02/04/2026","SHELL OIL 12715204009    SURPRISE     AZ","
SURPRISE, AZ ","Charge",20.18
"02/04/2026","FIRST WATCH - 0155       PHOENIX      AZ","
PHOENIX, AZ ","Charge",51.07
"02/04/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",66.21
"02/04/2026","DUTCHBROS.COFFEE         APPS.APPLE.COOR","
APPS.APPLE.CO, OR ","Charge",8.67
"02/04/2026","EXXON GOLD STAR 2 LLC    WICKENBURG   AZ","
WICKENBURG, AZ ","Charge",13.43
"02/04/2026","BURGER KING #23617       WICKENBURG   AZ","
WICKENBURG, AZ ","Charge",14.63
"02/03/2026","AGERO ROADSIDE ASSIST    JOINSWOOP.COMCA","
JOINSWOOP.COM, CA ","Charge",407.5
"02/03/2026","WM SUPERCENTER #2051     928-692-0555 AZ","
928-692-0555, AZ ","Charge",64.18
"02/03/2026","DUTCHBROS.COFFEE         APPS.APPLE.COOR","
APPS.APPLE.CO, OR ","Charge",8.67
"02/02/2026","JOHNNY ROCKETS FLAMING   702-3694011  NV","
702-3694011, NV ","Charge",30.24
"02/02/2026","CCDOA LAS AIRPORT        LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",4
"02/02/2026","USA TRAVEL CENTER        KINGMAN      AZ","
KINGMAN, AZ ","Charge",25.44
"02/01/2026","ALLEGNT AIR,GVN          702-5058888  NV","
702-5058888, NV ","Charge",486
"02/01/2026","SQ *JERSEY EATS          Las Vegas    NV","
Las Vegas, NV ","Charge",20.81
"01/31/2026","PARIS LV CASINO FRNT DSK LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",62.3
"01/30/2026","NATHANS FAMOUS FLAMING   702-3694011  NV","
702-3694011, NV ","Charge",20.54
"01/30/2026","CCDOA LAS AIRPORT        LAS VEGAS    NV","
LAS VEGAS, NV ","Charge",4
"01/29/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",9.28
"01/27/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",21.32
"01/26/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",39.26
"01/25/2026","ALLEGNT AIR,E5V          702-5058888  NV","
702-5058888, NV ","Charge",165
"01/24/2026","PAYMENT - THANK YOU"," ","Payment",120.23
"01/24/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",66.17
"01/23/2026","AIRBNB * HMSYBRBPAK      AIRBNB.COM   CA","
AIRBNB.COM, CA ","Charge",53.12
"01/22/2026","SP BUNKER BRANDING C     BUNKERBRANDINTX","
BUNKERBRANDIN, TX ","Charge",39.95
"01/21/2026","PAYMENT - THANK YOU"," ","Payment",178.74
"01/20/2026","PILOT_00610              KINGMAN      AZ","
KINGMAN, AZ ","Charge",26.51
"01/20/2026","STAPLES       00113886   KINGMAN      AZ","
KINGMAN, AZ ","Charge",0.65
"01/18/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",24.26
"01/16/2026","PAYMENT - THANK YOU"," ","Payment",317.95
"01/16/2026","H&R BLOCK TAX SOFTWARE   800-472-5625 MO","
800-472-5625, MO ","Charge",71.34
"01/16/2026","DOLLAR GENERAL #23902    KINGMAN      AZ","
KINGMAN, AZ ","Charge",20.38
"01/15/2026","WAL-MART #2051           KINGMAN      AZ","
KINGMAN, AZ ","Charge",46.49
"01/15/2026","SQ *FLOYD & COMPANY WOOD-gosq.com     AZ","
gosq.com, AZ ","Charge",16.27
"01/14/2026","GOOGLE *Google Store g.co/helppay CREDIT","
/helppay CRED, IT ","Credit",108.1
